time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,CCI,Smoothing Line,Histogram,MACD,Signal,OnBalanceVolume,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,True Strength Index,Signal
2018-06-19T09:30:00-04:00,49.7,50.06,49.58,49.96,16588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-20T09:30:00-04:00,50.45,50.889,50.45,50.58,189989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,189989,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-21T09:30:00-04:00,50.77,50.85,50.2,50.27,428740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-238751,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-22T09:30:00-04:00,50.59,50.61,50.19,50.49,181638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-25T09:30:00-04:00,50.23,50.23,49.015,49.45,2509603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2566716,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-26T09:30:00-04:00,49.72,49.78,49.35,49.5322,104005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2462711,-1027060.4,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-27T09:30:00-04:00,49.82,50,49.1,49.1,144983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2607694,-1586597,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-28T09:30:00-04:00,49.1,49.79,48.97,49.59,336481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2271213,-1993089.4,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-29T09:30:00-04:00,49.8,49.84,49.4204,49.53,152346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2423559,-2466378.6,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-02T09:30:00-04:00,49.11,49.84,48.94,49.84,321297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2102262,-2373487.8,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-03T09:30:00-04:00,50,50,49.189,49.23,97459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2199721,-2320889.8,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-05T09:30:00-04:00,49.59,50,49.33,49.9799,324879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1874842,-2174319.4,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-06T09:30:00-04:00,50.14,50.8164,49.93,50.77,199770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1675072,-2055091.2,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-09T09:30:00-04:00,51.2,51.2,50.65,51.06,118112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1556960,-1881771.4,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-10T09:30:00-04:00,51.21,51.21,50.87,51.039,1153296,NaN,58.953762405815375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2710256,-2003370.2,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-11T09:30:00-04:00,50.7,51.23,50.65,50.97,227517,NaN,58.23557749299459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2937773,-2150980.6,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-12T09:30:00-04:00,51.3,51.77,51.14,51.77,361366,NaN,63.74954047932951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2576407,-2291293.6,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-13T09:30:00-04:00,51.78,51.7998,51.4486,51.69,80077,NaN,62.85584873873433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2656484,-2487576,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-16T09:30:00-04:00,51.78,51.78,51.45,51.54,200891,NaN,61.12555647145402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2857375,-2747659,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-17T09:30:00-04:00,50.81,51.68,50.72,51.55,172559,366079.8,61.20223502364129,NaN,NaN,NaN,89.7115727374126,NaN,NaN,NaN,NaN,-2684816,-2742571,20.3701335555171,NaN,NaN,NaN,NaN,NaN
2018-07-18T09:30:00-04:00,51.59,51.6,51.23,51.4,147833,372642.05,59.312369360523846,NaN,NaN,NaN,89.54533081326244,NaN,NaN,NaN,NaN,-2832649,-2721546.2,20.988114757316268,NaN,NaN,NaN,NaN,NaN
2018-07-19T09:30:00-04:00,51.43,51.47,51.0062,51.04,258442,376064.7,54.92850268380371,NaN,NaN,NaN,62.746104164110314,NaN,NaN,NaN,NaN,-3091091,-2824483,20.16306653324662,NaN,NaN,NaN,NaN,NaN
2018-07-20T09:30:00-04:00,51.05,51.186,50.84,50.87,158390,362547.2,52.93867161322642,NaN,NaN,NaN,40.819870518198776,NaN,NaN,NaN,NaN,-3249481,-2943082.4,19.22533950563512,NaN,NaN,NaN,NaN,NaN
2018-07-23T09:30:00-04:00,50.93,51.1,50.65,51.08,94753,358202.95,55.10237094789862,NaN,NaN,NaN,35.95279152735282,63.75513395206739,NaN,NaN,NaN,-3154728,-3002553,18.754333974047057,NaN,NaN,NaN,NaN,NaN
