time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,CCI,Smoothing Line,Histogram,MACD,Signal,OnBalanceVolume,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,True Strength Index,Signal
2015-10-08T09:30:00-04:00,30.01,30.21,30.01,30.21,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-09T09:30:00-04:00,30.2,30.2,30.06,30.16,4335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4335,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-12T09:30:00-04:00,30.4199,30.42,30.27,30.3499,2250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2085,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-13T09:30:00-04:00,30.16,30.16,30.16,30.16,508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2593,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-15T09:30:00-04:00,30.03,30.07,30.03,30.07,2515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5108,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-16T09:30:00-04:00,30.5958,30.66,30.5958,30.642,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4708,-3765.8,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-19T09:30:00-04:00,30.7,31.01,30.7,30.9999,2001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2707,-3440.2,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-20T09:30:00-04:00,31.36,31.36,30.99,31.03,3240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,533,-2916.6,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-21T09:30:00-04:00,31.055,31.055,31.055,31.055,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,933,-2211.4,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-22T09:30:00-04:00,31.18,31.4625,31.177,31.4475,2180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3113,-567.2,NaN,NaN,NaN,NaN,NaN,NaN
