time,open,high,low,close,Volume,Volume MA,DEMA,EMA,Second EMA,H F,L F,H D,L D,+RBD,+HBD,-RBD,-HBD,TRIN,ADX,Plot,Plot,Schaff_TC,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator,Source 2 - Source 1 DPO,K1,EMA,RSI EMA K1,EMA RSI EMA K1
2008-03-24T09:30:00-04:00,50.0999,50.10001,50.0999,50.10001,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-03-31T09:30:00-04:00,50,59.7,49.32001,51.468,50526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-04-07T09:30:00-04:00,52.99001,52.99001,50.31,50.31,23603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-04-14T09:30:00-04:00,51.19,53.28,50.39999,52.60001,35845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-04-21T09:30:00-04:00,56.25999,60.45,52,52.72,92738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-04-28T09:30:00-04:00,53.5,53.83,52.3,53.42,60910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-05-05T09:30:00-04:00,53.50999,54.10001,52.64999,52.98,202307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-05-12T09:30:00-04:00,53.12,54.73,53.12,54.73,316097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-05-19T09:30:00-04:00,54.60001,55.24001,52.10001,53.03999,345655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-05-27T09:30:00-04:00,54.60001,54.91,52.73,53.71001,298622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-02T09:30:00-04:00,53.69,53.77,52.34,52.34,91787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,1101.2195511175119,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-09T09:30:00-04:00,52.33,52.4901,50.75999,51.27,30952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.01495389177057,NaN,25,815.7736790178128,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-16T09:30:00-04:00,51.32001,51.78,50.12,50.189,134215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.029469522116493,NaN,25,566.2865875401039,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-23T09:30:00-04:00,50.07201,50.49001,48.89999,49.23,89942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0061139743432852,NaN,25,-1374.798215593264,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-30T09:30:00-04:00,49.41,49.86,47.95,48.07001,114876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.983633494965493,NaN,25,-1696.2642315346907,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-07-07T09:30:00-04:00,47.00999,50.7,47,47.5,701900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9834227890562226,NaN,25,-3120.4436307873802,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-07-14T09:30:00-04:00,47.83,50.61,46.14799,47.94,2023070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9632107358832304,NaN,25,-3071.7110405034514,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-07-21T09:30:00-04:00,49.14999,49.14999,47.70399,47.74181,367314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0634058482367927,NaN,25,-1974.6428190223496,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-07-28T09:30:00-04:00,47.69,48.32001,47.13,47.3,122119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1368648362281406,NaN,25,-1548.6229839589444,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-08-04T09:30:00-04:00,47.06,48.12,46.7,47.73,139572,262112.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1201930762297654,NaN,25,-374.35225604085093,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.39519606476287,NaN,NaN,NaN
2008-08-11T09:30:00-04:00,47.78999,47.86,46.78,47.05,113896,267797.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0860955854672858,NaN,25,908.7462986810726,50,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.895196064762877,NaN,NaN,NaN
2008-08-18T09:30:00-04:00,47.14999,47.14999,45.91,46.94,125103,271526.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.233315312144613,NaN,25,3496.248212679705,75,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.647763648879207,NaN,NaN,NaN
2008-08-25T09:30:00-04:00,46.787,47.75999,46.03,47.06,106739,275682.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.387146091853933,NaN,25,2695.620539298294,87.5,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.457005320796384,NaN,NaN,NaN
2008-09-02T09:30:00-04:00,46.96001,47.11,43.62,44.4001,466525,297216.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3214873958587474,NaN,25,218.30912695478014,79.10968352245705,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.53774297204757,NaN,NaN,NaN
2008-09-08T09:30:00-04:00,45.8,46.03,43,44.73,933471,339253.6,NaN,NaN,NaN,47.75999,NaN,47.75999,NaN,NaN,NaN,NaN,NaN,1.2779786539277989,NaN,25,-1878.9399705755814,39.55484176122852,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.566242981811863,NaN,NaN,NaN
2008-09-15T09:30:00-04:00,43.50999,49.548,40.64,45.08,2143801,443398.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.266803266524771,NaN,25,-3901.6583331717725,19.77742088061426,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.033438511423204,NaN,NaN,NaN
