time,open,high,low,close,Volume,Volume MA,DEMA,EMA,Second EMA,H F,L F,H D,L D,+RBD,+HBD,-RBD,-HBD,TRIN,ADX,Plot,Plot,Schaff_TC,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator,Source 2 - Source 1 DPO,K1,EMA,RSI EMA K1,EMA RSI EMA K1
1998-12-21T09:30:00-05:00,25.313,26.04687,25.313,26.04687,17300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-28T09:30:00-05:00,25.92187,26.40625,25.8125,26.125,73800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-04T09:30:00-05:00,26.15625,27.40625,25.90625,27.15625,46900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-11T09:30:00-05:00,27.25,27.28125,25.6875,26.17187,141200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-18T09:30:00-05:00,26.46875,26.84375,25.875,26.46875,51400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-25T09:30:00-05:00,26.34375,27.5625,26.21875,27.46875,24800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-01T09:30:00-05:00,27.59375,27.82812,26.78125,26.78125,75400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-08T09:30:00-05:00,27.01562,27.26562,26.21875,26.75,44800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-15T09:30:00-05:00,26.98437,27.54687,26.76562,27.17187,28400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-22T09:30:00-05:00,27.25,28.09375,26.65625,27.29687,57400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-01T09:30:00-05:00,27.21875,28.84375,27.0625,28.65625,57900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,-614.8094923575345,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-08T09:30:00-05:00,28.875,29.5625,28.40625,29.21875,56800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8530599983763727,NaN,25,-255.38410517897387,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-15T09:30:00-05:00,29.1875,29.5,28.71875,29.0625,40100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8437353778981823,NaN,25,589.4010411630898,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-22T09:30:00-05:00,29,29,27.59375,28.3125,57800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8266009698746961,NaN,25,831.6256014271838,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-29T09:30:00-05:00,28.79687,29.21875,28.39062,28.5625,69900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7741554310433221,NaN,25,1098.6548873070024,0,25,75,NaN,71.90477965819971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-05T09:30:00-04:00,28.75,30.32812,28.65625,30.28125,127800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7346173311168617,NaN,25,1928.0610592708845,0,25,75,NaN,76.61213090591934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-12T09:30:00-04:00,29.8125,30.65625,29.1875,29.71875,150900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763661248022833,NaN,25,1901.3111766077625,0,25,75,NaN,75.85666887234777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-19T09:30:00-04:00,30.1875,30.5625,28.96875,30.34375,135800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8945845731246539,NaN,25,1873.906493361025,0,25,75,NaN,76.72889152045255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-26T09:30:00-04:00,30.46875,30.59375,28.46875,29.34375,159700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8884234357977685,NaN,25,1576.1622289192883,0,25,75,NaN,69.59839290425941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-03T09:30:00-04:00,29.40625,30.4375,28.8125,29.46875,369300,89370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8336520179153917,NaN,25,1658.3036296092614,0,25,75,NaN,70.1281882842782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-10T09:30:00-04:00,29.5625,30.40625,29.25,29.46875,86600,92835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8862097016353635,NaN,25,1925.9163979497753,0,25,75,NaN,70.63983491433912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-17T09:30:00-04:00,29,29.53125,28.5625,28.78125,28800,90585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8787940053444403,NaN,25,978.5012901139135,0,25,75,NaN,62.32691881705393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-24T09:30:00-04:00,28.71875,28.875,27.625,28.01562,28700,89675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.012930231216472,NaN,25,425.9270870575151,0,25,75,NaN,54.92218054552755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-31T09:30:00-04:00,28.0625,29.15625,27.76562,29,45100,84870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9768939503677571,NaN,25,-646.1538648517626,0,25,75,NaN,58.940912037551705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-06-07T09:30:00-04:00,28.875,29.125,27.76562,27.8125,22400,83420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9599370581217936,NaN,25,-840.4910866795667,0,25,75,NaN,53.74701315895893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-06-14T09:30:00-04:00,28.0625,28.46875,27.625,28.4375,34300,83895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9616819500547736,NaN,25,-476.59916480856873,0,25,75,NaN,54.55907766518501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-06-21T09:30:00-04:00,28.59375,28.9375,27.875,28.1875,19800,81115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9537165770493248,NaN,25,-404.62123606518617,0,25,75,NaN,54.970096469192086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-06-28T09:30:00-04:00,28.28125,30.25,28.28125,30.09375,35600,80655,NaN,NaN,NaN,NaN,27.625,NaN,27.625,NaN,NaN,NaN,NaN,0.9391167131627681,29.88653071730047,25,225.43642385767362,50,25,75,NaN,63.86929505561063,65.34317005777686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-07-05T09:30:00-04:00,30.1875,30.57812,29.71875,29.8125,58000,82135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9369036403867773,30.247797393134938,25,420.299000220567,75,25,75,NaN,65.46790725181907,64.88339345732109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
